,PMID,Full_author_name
0,25712109,"agostini, michela/split/foundation irccs san camillo hospital, laboratory of kinematics and robotics,  neurorehabilitation department, via alberoni 70, 30126, venice, italy michela.agostini@ospedalesancamillo.net."
0,25712109,"moja, lorenzo/split/department of biomedical sciences for health, university of milan, milan, italy;  clinical epidemiology unit, irccs orthopedic institute galeazzi, milan, italy."
0,25712109,"banzi, rita/split/irccs-istituto di ricerche farmacologiche ""mario negri"", via la masa 19, 20156  milan, italy."
0,25712109,"pistotti, vanna/split/irccs-istituto di ricerche farmacologiche ""mario negri"", via la masa 19, 20156  milan, italy."
0,25712109,"tonin, paolo/split/foundation irccs san camillo hospital, laboratory of kinematics and robotics,  neurorehabilitation department, via alberoni 70, 30126, venice, italy."
0,25712109,"venneri, annalena/split/department of neuroscience, the university of sheffield. sheffield, uk foundation  irccs san camillo hospital, laboratory of neuroimaging, via alberoni 70, 30126, venice, italy."
0,25712109,"turolla, andrea/split/foundation irccs san camillo hospital, laboratory of kinematics and robotics,  neurorehabilitation department, via alberoni 70, 30126, venice, italy department of neuroscience, the university of sheffield. sheffield, uk."
1,27390963,"piotrowicz, ewa/split/telecardiology center, institute of cardiology, warsaw, poland. electronic  address: epiotrowicz@ikard.pl."
1,27390963,"piepoli, massimo f/split/heart failure unit, cardiology, g da saliceto hospital, piacenza, italy."
1,27390963,"jaarsma, tiny/split/faculty of health sciences, university of linköping, linköping, sweden."
1,27390963,"lambrinou, ekaterini/split/cyprus university of technology, cyprus."
1,27390963,"coats, andrew j s/split/monash university, melbourne, australia; university of warwick, coventry, uk."
1,27390963,"schmid, jean-paul/split/cardiology clinic, tiefenauspital, bern university hospital, bern, switzerland."
1,27390963,"corrà, ugo/split/cardiology division, irccs fondazione 's. maugeri', centro medico e di  riabilitazione di veruno, via per revislate 13, 28010 veruno, novara, italy."
1,27390963,"agostoni, piergiuseppe/split/centro cardiologico monzino, irccs, milano, italy."
1,27390963,"dickstein, kenneth/split/university of bergen stavanger university hospital stavanger, norway."
1,27390963,"seferović, petar m/split/polyclinic of the clinical centre of serbia, department of internal medicine,  belgrade university school of medicine, serbia."
1,27390963,"adamopoulos, stamatis/split/heart failure-transplant unit, onassis cardiac surgery center, athens, greece."
1,27390963,"ponikowski, piotr p/split/department of heart diseases, faculty of health sciences, wroclaw medical  university military hospital, wroclaw, poland."
2,25475219,"frederix, ines/split/department of medicine, katholieke universiteit leuven, belgium department of  medicine, hasselt university, belgium ines.frederix@gmail.com."
2,25475219,"vanhees, luc/split/department of rehabilitation sciences, katholieke universiteit leuven, belgium."
2,25475219,"dendale, paul/split/department of cardiology, jessa hospital, belgium."
2,25475219,"goetschalckx, kaatje/split/department of cardiology, universitair ziekenhuis leuven, belgium."
3,27549782,"zanaboni, paolo/split/norwegian centre for e-health research, university hospital of north norway,  tromsø, norway. paolo.zanaboni@telemed.no."
3,27549782,"dinesen, birthe/split/department of health science and technology, laboratory of assistive technologies  "
3,27549782,"hjalmarsen, audhild/split/heart and lung clinic, university hospital of north norway, tromsø, norway./split/department of clinical medicine, the arctic university of norway, tromsø, norway."
3,27549782,"hoaas, hanne/split/norwegian centre for e-health research, university hospital of north norway,  tromsø, norway./split/department of clinical medicine, the arctic university of norway, tromsø, norway."
3,27549782,"holland, anne e/split/la trobe university, melbourne, australia./split/alfred health, melbourne, australia./split/institute for breathing and sleep, melbourne, australia."
3,27549782,"oliveira, cristino carneiro/split/la trobe university, melbourne, australia."
3,27549782,"wootton, richard/split/norwegian centre for e-health research, university hospital of north norway,  tromsø, norway./split/department of clinical medicine, the arctic university of norway, tromsø, norway."
4,27431419,"buys, roselien/split/department of rehabilitation sciences, university of leuven, herestraat 49, 3000,  leuven, belgium. roselien.buys@kuleuven.be./split/department of cardiovascular sciences, university of leuven, herestraat 49, 3000,  leuven, belgium. roselien.buys@kuleuven.be."
4,27431419,"claes, jomme/split/department of cardiovascular sciences, university of leuven, herestraat 49, 3000,  leuven, belgium."
4,27431419,"walsh, deirdre/split/school of health and human performance, dublin city university, dublin 9,  ireland./split/insight centre for data analytics, dublin city university, dublin 9, ireland."
4,27431419,"cornelis, nils/split/department of rehabilitation sciences, university of leuven, herestraat 49, 3000,  leuven, belgium."
4,27431419,"moran, kieran/split/school of health and human performance, dublin city university, dublin 9,  ireland./split/insight centre for data analytics, dublin city university, dublin 9, ireland."
4,27431419,"budts, werner/split/department of cardiovascular sciences, university of leuven, herestraat 49, 3000,  leuven, belgium./split/internal medicine, division of cardiology, university hospital leuven, herestraat  49, 3000, leuven, belgium."
4,27431419,"woods, catherine/split/school of health and human performance, dublin city university, dublin 9,  ireland./split/insight centre for data analytics, dublin city university, dublin 9, ireland."
4,27431419,"cornelissen, véronique a/split/department of rehabilitation sciences, university of leuven, herestraat 49, 3000,  leuven, belgium."
5,26289723,"frederix, ines/split/department of cardiology, jessa hospital, hasselt, belgium faculty of medicine &  life sciences, hasselt university, belgium ines.frederix@gmail.com."
5,26289723,"hansen, dominique/split/faculty of medicine & life sciences, hasselt university, belgium."
5,26289723,"coninx, karin/split/faculty of sciences, expertise centre for digital media, hasselt university,  belgium."
5,26289723,"vandervoort, pieter/split/faculty of medicine & life sciences, hasselt university, belgium department of  cardiology, hospital east-limburg, genk, belgium."
5,26289723,"vandijck, dominique/split/faculty of medicine & life sciences, hasselt university, belgium."
5,26289723,"hens, niel/split/interuniversity institute of biostatistics and statistical bioinformatics,  hasselt university, belgium centre for health economic research and modelling infectious diseases, vaccine and infectious disease institute, university of antwerp, belgium."
5,26289723,"van craenenbroeck, emeline/split/department of cardiology, antwerp university hospital, belgium."
5,26289723,"van driessche, niels/split/faculty of medicine & life sciences, hasselt university, belgium."
5,26289723,"dendale, paul/split/department of cardiology, jessa hospital, hasselt, belgium faculty of medicine &  life sciences, hasselt university, belgium."
6,25948479,"frederix, ines/split/department of cardiology, jessa hospital, stadsomvaart 11, 3500, hasselt,  belgium. ines.frederix@gmail.com./split/faculty of medicine & life sciences, hasselt university, agoralaan gebouw d,  3590, diepenbeek, belgium. ines.frederix@gmail.com."
6,25948479,"hansen, dominique/split/department of cardiology, jessa hospital, stadsomvaart 11, 3500, hasselt,  belgium. dominique.hansen@jessazh.be."
6,25948479,"coninx, karin/split/faculty of sciences, expertise center for digital media, hasselt university,  wetenschapspark 2, 3590, diepenbeek, belgium. karin.coninx@uhasselt.be."
6,25948479,"vandervoort, pieter/split/faculty of medicine & life sciences, hasselt university, agoralaan gebouw d,  3590, diepenbeek, belgium. pieter.vandervoort@zol.be./split/department of cardiology, hospital east-limburg, schiepse bos 6, 3600, genk,  belgium. pieter.vandervoort@zol.be."
6,25948479,"van craenenbroeck, emeline m/split/department of cardiology, antwerp university hospital, wilrijkstraat 10, 2650,  edegem, belgium. emeline.vancraenenbroeck@uantwerpen.be."
6,25948479,"vrints, christiaan/split/department of cardiology, antwerp university hospital, wilrijkstraat 10, 2650,  edegem, belgium. christiaan.vrints@uantwerpen.be."
6,25948479,"dendale, paul/split/department of cardiology, jessa hospital, stadsomvaart 11, 3500, hasselt,  belgium. paul.dendale@jessazh.be./split/faculty of medicine & life sciences, hasselt university, agoralaan gebouw d,  3590, diepenbeek, belgium. paul.dendale@jessazh.be."
7,26034937,"hwang, rita/split/department of physiotherapy, princess alexandra hospital, metro south health,  brisbane, queensland, australia (ms hwang); department of physiotherapy, heart failure support service, the prince charles hospital, brisbane, queensland, australia (mr bruning); the menzies health institute queensland and the school of allied health sciences, griffith university, gold coast, queensland, australia (dr morris); and physiotherapy, school of health & rehabilitation sciences, the university of queensland, brisbane, queensland, australia (drs mandrusiak and russell and ms hwang)."
7,26034937,"bruning, jared"
7,26034937,"morris, norman"
7,26034937,"mandrusiak, allison"
7,26034937,"russell, trevor"
8,26206311,"frederix, ines/split/mobile health institute, faculty of medicine & life sciences, hasselt university,  diepenbeek, belgium. ines.frederix@gmail.com."
8,26206311,"hansen, dominique"
8,26206311,"coninx, karin"
8,26206311,"vandervoort, pieter"
8,26206311,"vandijck, dominique"
8,26206311,"hens, niel"
8,26206311,"van craenenbroeck, emeline"
8,26206311,"van driessche, niels"
8,26206311,"dendale, paul"
9,26713491,"kidholm, kristian/split/1 center for innovative medical technology, odense university hospital , odense,  denmark ."
9,26713491,"rasmussen, maja kjær/split/1 center for innovative medical technology, odense university hospital , odense,  denmark ."
9,26713491,"andreasen, jan jesper/split/2 department of cardiothoracic surgery, aalborg university hospital , aalborg,  denmark ./split/3 department of clinical medicine, aalborg university , aalborg, denmark ."
9,26713491,"hansen, john/split/4 laboratory for cardio-technology, medical informatics group, department of  health science and technology, faculty of medicine, aalborg university , aalborg, denmark ."
9,26713491,"nielsen, gitte/split/5 department of cardiology, vendsyssel hospital , hjoerring, denmark ."
9,26713491,"spindler, helle/split/6 department of psychology and behavioral sciences, aarhus graduate school of  business and social sciences, aarhus university , aarhus, denmark ."
9,26713491,"dinesen, birthe/split/7 telehealth and telerehabilitation, laboratory of assistive technologies, smi ®,  department of health science and technology, faculty of medicine, aalborg university , aalborg, denmark ."
10,27044310,"thorup, charlotte/split/department of cardiothoracic surgery, aalborg university hospital, aalborg,  denmark. cbt@rn.dk."
10,27044310,"hansen, john"
10,27044310,"grønkjær, mette"
10,27044310,"andreasen, jan jesper"
10,27044310,"nielsen, gitte"
10,27044310,"sørensen, erik elgaard"
10,27044310,"dinesen, birthe irene"
11,26340910,"mclean, lianne d/split/faculty of nursing, university of alberta, edmonton, canada misericordia  hospital, edmonton, canada ldmclean@ualberta.ca."
11,26340910,"clark, alexander m/split/faculty of nursing, university of alberta, edmonton, canada."
12,25588535,"korzeniowska-kubacka, iwona/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland. drkubacka@wp.pl."
12,25588535,"bilińska, maria"
12,25588535,"dobraszkiewicz-wasilewska, barbara"
12,25588535,"piotrowicz, ryszard"
13,27657799,"frederix, ines/split/department of cardiology, jessa hospital, hasselt, belgium."
13,27657799,"vandenberk, thijs"
13,27657799,"janssen, leen"
13,27657799,"geurden, anne"
13,27657799,"vandervoort, pieter"
13,27657799,"dendale, paul"
14,24849304,"piotrowicz, ewa/split/telecardiology centre, institute of cardiology, warsaw, poland  epiotrowicz@ikard.pl."
14,24849304,"stepnowska, monika/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland."
14,24849304,"leszczyńska-iwanicka, kinga/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland."
14,24849304,"piotrowska, dorota/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland."
14,24849304,"kowalska, monika/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland cardinal stefan wyszynski university, warsaw, poland."
14,24849304,"tylka, jan/split/cardinal stefan wyszynski university, warsaw, poland."
14,24849304,"piotrowski, walerian/split/statistics laboratory, institute of cardiology, warsaw, poland."
14,24849304,"piotrowicz, ryszard/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland."
15,26524699,"piotrowicz, ewa/split/institute of cardiology, telecardiology center, warsaw, poland."
15,26524699,"piotrowski, walerian/split/statistics laboratory, institute of cardiology, warsaw, poland."
15,26524699,"piotrowicz, ryszard/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, warsaw, poland."
16,26888420,"zanaboni, paolo/split/1 university hospital of north norway, norwegian centre for integrated care and  telemedicine, tromsø, norway."
16,26888420,"hoaas, hanne/split/1 university hospital of north norway, norwegian centre for integrated care and  telemedicine, tromsø, norway./split/2 the arctic university of norway, tromsø, norway."
16,26888420,"aarøen lien, linda/split/3 lhl-klinikkene skibotn, norway."
16,26888420,"hjalmarsen, audhild/split/2 the arctic university of norway, tromsø, norway./split/4 university hospital of north norway, heart and lung clinic, tromsø, norway."
16,26888420,"wootton, richard/split/1 university hospital of north norway, norwegian centre for integrated care and  telemedicine, tromsø, norway./split/2 the arctic university of norway, tromsø, norway."
17,26579590,"dithmer, marcus/split/1 department of computer science, aarhus university , aarhus, denmark ."
17,26579590,"rasmussen, jack ord/split/1 department of computer science, aarhus university , aarhus, denmark ."
