,PMID,Mesh_terms
0,25712109,"arthroplasty, replacement, knee/rehabilitation"
0,25712109,heart failure/rehabilitation
0,25712109,humans
0,25712109,internet
0,25712109,motor activity/*physiology
0,25712109,nervous system diseases/rehabilitation
0,25712109,physical therapy modalities
0,25712109,recovery of function/*physiology
0,25712109,telerehabilitation/*methods
1,27390963,cardiac rehabilitation/*methods
1,27390963,evidence-based medicine/methods
1,27390963,exercise therapy/methods
1,27390963,heart failure/diagnosis/*rehabilitation
1,27390963,humans
1,27390963,telemedicine/methods
1,27390963,telerehabilitation/*methods
2,25475219,*cardiac rehabilitation
2,25475219,exercise
2,25475219,heart failure/rehabilitation
2,25475219,heart valve prosthesis
2,25475219,humans
2,25475219,patient compliance
2,25475219,patient education as topic/methods
2,25475219,patient readmission
2,25475219,percutaneous coronary intervention/rehabilitation
2,25475219,social support
2,25475219,telerehabilitation/*methods
3,27549782,adult
3,27549782,aged
3,27549782,"aged, 80 and over"
3,27549782,australia
3,27549782,cost-benefit analysis
3,27549782,denmark
3,27549782,exercise test
3,27549782,exercise therapy
3,27549782,female
3,27549782,health status
3,27549782,humans
3,27549782,international cooperation
3,27549782,male
3,27549782,middle aged
3,27549782,norway
3,27549782,"outcome assessment, health care"
3,27549782,"pulmonary disease, chronic obstructive/*rehabilitation"
3,27549782,*quality of life
3,27549782,self care/*methods
3,27549782,self efficacy
3,27549782,telerehabilitation/*methods pmc
4,27431419,adult
4,27431419,aged
4,27431419,cardiac rehabilitation/*psychology
4,27431419,cardiovascular diseases/prevention & control/*therapy
4,27431419,female
4,27431419,humans
4,27431419,*internet
4,27431419,male
4,27431419,middle aged
4,27431419,"monitoring, ambulatory/*psychology"
4,27431419,patient acceptance of health care/*psychology
4,27431419,"*therapy, computer-assisted"
4,27431419,*user-computer interface pmc
5,26289723,aged
5,26289723,cardiac rehabilitation/*economics
5,26289723,cardiovascular diseases/economics/*therapy
5,26289723,cost-benefit analysis
5,26289723,female
5,26289723,follow-up studies
5,26289723,health care costs/*trends
5,26289723,humans
5,26289723,male
5,26289723,middle aged
5,26289723,patient readmission/economics/*trends
5,26289723,prospective studies
5,26289723,*quality of life
5,26289723,*quality-adjusted life years
5,26289723,rehabilitation centers
5,26289723,telerehabilitation/*economics
5,26289723,time factors
6,25948479,coronary artery disease/*rehabilitation
6,25948479,diet
6,25948479,exercise therapy
6,25948479,heart failure/*rehabilitation
6,25948479,humans
6,25948479,internet
6,25948479,oxygen consumption
6,25948479,physical fitness
6,25948479,prospective studies
