,PMID,Other_term
0,25712109,telerehabilitation
1,27390963,exercise training---heart failure---telerehabilitation
3,27549782,copd---exercise---home monitoring---pulmonary rehabilitation---telemedicine---telerehabilitation
4,27431419,cardiac rehabilitation---exercise---lifestyle risk reduction---physical activity---technology
5,26289723,telerehabilitation---cost-effectiveness---telecoaching---telemonitoring
8,26206311,internet---ehealth---effectiveness---telemedicine cois
9,26713491,cost-utility---economic evaluation---heart patients---randomized study---telerehabilitation
10,27044310,heart disease---physical activity---rehabilitation---step counters---telerehabilitation cois
14,24849304,quality of life---heart failure---telerehabilitation
15,26524699,depression---exercise training---heart rate variability
16,26888420,copd---exercise---home monitoring---pulmonary rehabilitation---telemedicine
18,26915366,cardiac failure---exercise test---functional capacity---telemedicine---telerehabilitation
19,25261268,nordic walking training---telerehabilitation---heart failure
20,28143388,behavioural change---cardiac rehabilitation---cost-effectiveness---patient empowerment---physical activity---telerehabilitation
22,28985325,chronic heart failure---chronic obstructive pulmonary disease---home rehabilitation---older people---telemedicine services
23,28336297,cardiac failure---exercise---physical therapy---telemedicine---telerehabilitation
25,30134780,cardiac rehabilitation---muscle strength---telehealth---telemedicine---telemonitoring
26,28799460,cost–benefit analysis---cardiac rehabilitation---costs---telerehabilitation
27,30251248,cardiac rehabilitation---functional capacity---hybrid---meta-analysis
28,29305064,cardiac diseases---ehealth literacy---patient education---rehabilitation---tele-rehabilitation
29,30076800,cardiac rehabilitation---coronary artery disease---exercise---health services accessibility---rehabilitation---remote sensing technology---telemedicine
30,28441928,guidelines---telestroke/telemedicine---acute stroke therapy---prevention---protocols---rehabilitation
32,28667228,cardiac rehabilitation---design---exercise---randomized controlled trial---telemonitoring---telerehabilitation cois
33,28925749,telerehabilitation---cardiac rehabilitation---cost-effectiveness---ehealth---rehabilitation---telemedicine
34,28245004,nordic walking---pension prevention---rehabilitation---telemonitoring---telerehabilitation---training
35,30528811,cardiac failure---cost-effectiveness---economic evaluation---exercise---telemedicine---telerehabilitation
36,28569116,"chronic lung disease---chronic obstructive lung disease---focus groups---pulmonary rehabilitation---qualitative methods---technology---telerehabilitation cois conflicts of interest with respect to the research, authorship, and/or publication of this article."
37,30573441,exercise---physical therapy---pulmonary rehabilitation---telemonitoring---telerehabilitation
38,28427763,cardiac failure---exercise---qualitative research---telemedicine---telerehabilitation
39,28882061,glioma---brain tumour---exercise---physical fitness---physical training cois
40,33245286,cardiac rehabilitation---heart diseases---implementation science---smartphone---systematic review---telerehabilitation cois
43,31298957,cardiac rehabilitation---qualitative research---telemedicine---telerehabilitation
44,31174579,rehabilitation---stroke---technology---telerehabilitation---virtual reality cois
45,31702397,health literacy---patient activation---pilot study---tele-health---tele-rehabilitation
46,31787026,cardiac rehabilitation---coronary artery disease---exercise---telemonitoring
47,31112461,physical therapy---smartphone---tele-rehabilitation
48,33739009,hip arthroplasty---knee---telerehabilitation
50,30985284,heart diseases---qualitative study---social media---telerehabilitation cois
51,32602812,belgium---covid-19---cardiovascular disease---telerehabilitation
52,31633454,canadian partnership for stroke recovery---stroke---telerehabilitation
53,33183162,covid-19---cardiac rehabilitation---cardiovascular disease---patient experience---telerehabilitation---willingness-to-pay
54,30759761,anxiety---cardiac rehabilitation---depression---motivation---psychological distress---telerehabilitation cois
55,31156093,myocardial infarction---telerehabilitation---usability---web-based platform
60,30730298,coronary disease---e-health---e-rehabilitation---focus group---grounded theory---qualitative study---rehabilitees’ experience---remote rehabilitation---secondary prevention---telerehabilitation cois
61,31760855,"cardiac rehabilitation---coronary artery disease---telemonitoring, telecoaching---telerehabilitation, telehealth, telecare, peakvo2"
65,30946021,cardiac rehabilitation---evaluation studies---heart diseases---human factors engineering---mobile app---multidisciplinary research---telerehabilitation cois
67,31973598,endothelial function---exercise---heart transplant---live videoconferencing
68,32750254,augmented reality---chronic heart patients---chronic lung patients---rehabilitation---technology---usefulness
69,31129929,digital health---mr-proadm---nt-probnp---outcome---remote patient management---telemedicine
71,33561280,digital health---e-health---remote physical therapy---telehealth---telemedicine---telerehabilitation
72,33642858,copd---covid-19---pulmonary rehabilitation---telerehabilitation cois
73,33611598,exercise---physical therapy---telerehabilitation
74,34254118,cardiac rehabilitation---coronary heart disease---home-based---mobile application---telerehabilitation---web-based
75,33814057,cardiac rehabilitation---home-based rehabilitation---pulmonary rehabilitation---telehealth---telerehabilitation cois
76,34312316,"covid-19---pulmonary rehabilitation cois at www.icmje.org/coi_disclosure.pdf and declare: no support from any organisation for the submitted work. jl reports a research grant from jiangsu cf pharmtech. jr reports research grants from xi’an bureau of technology, china; from the fundamental research funds for the central universities, china and from sichuan bureau of science and technology, china during the conduct of the study. no other relationships or activities exist that could appear to have influenced the submitted work."
77,34957758,covid-19 pandemic---cardiac rehabilitation---cardiovascular diseases---exercise training---secondary prevention---telerehabilitation cois
78,35229536,artificial intelligence---cardiac rehabilitation---telerehabilitation cois
85,34211829,covid-19---cardiac rehabilitation---global health---health services---healthcare providers---survey cois
86,35700376,cardiac rehabilitation---cardiovascular diseases---remote medicine---telemedicine technology
87,36141899,online communication---patients management---robotic system---telerehabilitation cois
88,36272831,enter rehabilitation---home rehabilitation---telerehabilitation
89,34419529,cardiac rehabilitation---coronary artery disease---digital health---elderly---mobile health---secondary prevention---telerehabilitation
90,36295482,cardiac rehabilitation---heart failure---telerehabilitation cois
93,33579602,cardiac rehabilitation---elderly---heart failure---telemedicine cois the other authors have no conflicts of interest to declare.
94,33668304,covid-19---cardiac rehabilitation---cardiac telerehabilitation---cardiorespiratory fitness---coronary heart disease---heart rate monitor---physical exercise cois
95,36367614,cardiac rehabilitation---coronary artery bypass graft surgery---telehealth rehabilitation---telemedicine cois for the content and writing of this article. the views expressed in this (presentation/article) are those of the authors and do not necessarily reflect the position or policy of the department of veterans affairs or the united states government.
96,33611602,covid-19---exercise---physical therapy modalities---rehabilitation---stroke---telemedicine
97,34994711,acceptability---acceptance---app---cardiac---cardiology---coronary heart disease---evaluation---heart---home-based---mobile application---perspective---rehabilitation---review---technology acceptance---telerehabilitation---usability---web-based cois
