,PMID,Population
3,27549782,adult
3,27549782,aged
3,27549782,"aged, 80 and over"
3,27549782,female
3,27549782,male
3,27549782,middle aged
4,27431419,adult
4,27431419,aged
4,27431419,female
4,27431419,male
4,27431419,middle aged
5,26289723,aged
5,26289723,female
5,26289723,male
5,26289723,middle aged
8,26206311,adult
8,26206311,female
8,26206311,male
8,26206311,middle aged
9,26713491,adult
9,26713491,aged
9,26713491,"aged, 80 and over"
9,26713491,female
9,26713491,male
9,26713491,middle aged
10,27044310,aged
10,27044310,female
10,27044310,male
10,27044310,middle aged
12,25588535,female
12,25588535,male
12,25588535,middle aged
14,24849304,adult
14,24849304,aged
14,24849304,middle aged
15,26524699,female
15,26524699,male
15,26524699,middle aged
16,26888420,adult
16,26888420,aged
16,26888420,female
16,26888420,male
16,26888420,middle aged
17,26579590,aged
17,26579590,middle aged
18,26915366,aged
18,26915366,female
18,26915366,male
19,25261268,adult
19,25261268,aged
19,25261268,female
19,25261268,male
19,25261268,middle aged
21,30170422,aged
21,30170422,female
21,30170422,male
21,30170422,middle aged
22,28985325,aged
22,28985325,"aged, 80 and over"
22,28985325,female
22,28985325,male
22,28985325,middle aged
23,28336297,aged
23,28336297,female
23,28336297,male
23,28336297,middle aged
25,30134780,adult
25,30134780,female
25,30134780,male
25,30134780,middle aged
28,29305064,adult
28,29305064,aged
28,29305064,"aged, 80 and over"
28,29305064,female
28,29305064,male
28,29305064,middle aged
29,30076800,adult
29,30076800,aged
29,30076800,"aged, 80 and over"
29,30076800,female
29,30076800,male
29,30076800,middle aged
31,30192210,aged
31,30192210,female
31,30192210,male
31,30192210,middle aged
32,28667228,adult
32,28667228,aged
32,28667228,"aged, 80 and over"
32,28667228,male
32,28667228,middle aged
33,28925749,female
33,28925749,male
33,28925749,middle aged
34,28245004,adult
34,28245004,female
34,28245004,male
34,28245004,middle aged
35,30528811,aged
35,30528811,female
35,30528811,male
35,30528811,middle aged
36,28569116,adult
36,28569116,aged
36,28569116,"aged, 80 and over"
36,28569116,female
36,28569116,male
36,28569116,middle aged
37,30573441,aged
37,30573441,female
37,30573441,male
37,30573441,middle aged
38,28427763,aged
38,28427763,"aged, 80 and over"
38,28427763,child
38,28427763,female
38,28427763,male
38,28427763,middle aged
39,28882061,aged
