,PMID,Publication_type
0,25712109,journal article
0,25712109,meta-analysis
0,25712109,review
0,25712109,systematic review
1,27390963,journal article
1,27390963,review
2,25475219,journal article
2,25475219,review
3,27549782,journal article
3,27549782,multicenter study
3,27549782,randomized controlled trial
4,27431419,journal article
4,27431419,"research support, non-u.s. gov't"
5,26289723,"clinical trial, phase iii"
5,26289723,journal article
5,26289723,multicenter study
5,26289723,randomized controlled trial
5,26289723,"research support, non-u.s. gov't"
6,25948479,journal article
6,25948479,multicenter study
6,25948479,randomized controlled trial
6,25948479,"research support, non-u.s. gov't"
7,26034937,journal article
7,26034937,"research support, non-u.s. gov't"
7,26034937,review
7,26034937,systematic review
8,26206311,journal article
8,26206311,multicenter study
8,26206311,randomized controlled trial
8,26206311,"research support, non-u.s. gov't"
9,26713491,journal article
9,26713491,randomized controlled trial
9,26713491,"research support, non-u.s. gov't"
10,27044310,journal article
10,27044310,"research support, non-u.s. gov't"
11,26340910,letter
12,25588535,clinical trial
12,25588535,comparative study
12,25588535,journal article
13,27657799,journal article
13,27657799,multicenter study
13,27657799,randomized controlled trial
14,24849304,comparative study
14,24849304,journal article
14,24849304,randomized controlled trial
14,24849304,"research support, non-u.s. gov't"
15,26524699,journal article
15,26524699,randomized controlled trial
16,26888420,journal article
17,26579590,journal article
18,26915366,journal article
19,25261268,journal article
19,25261268,randomized controlled trial
19,25261268,"research support, non-u.s. gov't"
20,28143388,journal article
20,28143388,randomized controlled trial
20,28143388,"research support, non-u.s. gov't"
21,30170422,journal article
21,30170422,randomized controlled trial
22,28985325,journal article
22,28985325,multicenter study
22,28985325,randomized controlled trial
22,28985325,"research support, non-u.s. gov't"
23,28336297,journal article
23,28336297,randomized controlled trial
23,28336297,"research support, non-u.s. gov't"
24,30274638,journal article
24,30274638,"research support, non-u.s. gov't"
24,30274638,review
25,30134780,journal article
26,28799460,comparative study
26,28799460,journal article
27,30251248,journal article
27,30251248,meta-analysis
27,30251248,systematic review
28,29305064,journal article
28,29305064,"research support, non-u.s. gov't"
29,30076800,equivalence trial
29,30076800,journal article
29,30076800,randomized controlled trial
29,30076800,"research support, non-u.s. gov't"
30,28441928,journal article
30,28441928,practice guideline
30,28441928,"research support, non-u.s. gov't"
31,30192210,comparative study
31,30192210,journal article
31,30192210,randomized controlled trial
31,30192210,"research support, non-u.s. gov't"
32,28667228,journal article
32,28667228,multicenter study
32,28667228,randomized controlled trial
32,28667228,"research support, non-u.s. gov't"
33,28925749,journal article
33,28925749,multicenter study
33,28925749,randomized controlled trial
33,28925749,"research support, non-u.s. gov't"
34,28245004,journal article
35,30528811,clinical trial
35,30528811,comparative study
35,30528811,journal article
35,30528811,multicenter study
36,28569116,journal article
37,30573441,journal article
37,30573441,multicenter study
37,30573441,observational study
38,28427763,journal article
38,28427763,multicenter study
38,28427763,randomized controlled trial
39,28882061,journal article
39,28882061,randomized controlled trial
40,33245286,journal article
40,33245286,"research support, non-u.s. gov't"
40,33245286,review
40,33245286,systematic review
41,32553606,journal article
41,32553606,practice guideline
42,31734701,journal article
42,31734701,multicenter study
42,31734701,randomized controlled trial
42,31734701,"research support, non-u.s. gov't"
43,31298957,journal article
43,31298957,"research support, non-u.s. gov't"
44,31174579,clinical trial protocol
44,31174579,journal article
45,31702397,comparative study
45,31702397,journal article
45,31702397,"research support, non-u.s. gov't"
46,31787026,comparative study
46,31787026,journal article
46,31787026,randomized controlled trial
46,31787026,"research support, non-u.s. gov't"
47,31112461,journal article
47,31112461,"research support, non-u.s. gov't"
47,31112461,"research support, u.s. gov't, p.h.s."
47,31112461,systematic review
48,33739009,journal article
48,33739009,review
49,32344000,editorial
50,30985284,journal article
50,30985284,"research support, non-u.s. gov't"
51,32602812,journal article
52,31633454,journal article
52,31633454,"research support, non-u.s. gov't"
53,33183162,journal article
54,30759761,journal article
54,30759761,"research support, non-u.s. gov't"
55,31156093,journal article
56,32629502,journal article
56,32629502,systematic review
57,31082934,journal article
58,33381784,journal article
59,31946398,journal article
59,31946398,"research support, non-u.s. gov't"
60,30730298,journal article
61,31760855,journal article
61,31760855,randomized controlled trial
62,32233671,journal article
63,32804796,journal article
64,33217814,clinical trial protocol
64,33217814,journal article
65,30946021,journal article
66,32176113,journal article
66,32176113,randomized controlled trial
67,31973598,clinical trial
67,31973598,journal article
67,31973598,"research support, non-u.s. gov't"
68,32750254,journal article
68,32750254,"research support, non-u.s. gov't"
69,31129929,journal article
69,31129929,randomized controlled trial
69,31129929,"research support, non-u.s. gov't"
70,31654944,journal article
70,31654944,multicenter study
70,31654944,randomized controlled trial
70,31654944,"research support, non-u.s. gov't"
71,33561280,journal article
71,33561280,"research support, non-u.s. gov't"
71,33561280,systematic review
72,33642858,journal article
72,33642858,review
73,33611598,journal article
73,33611598,meta-analysis
73,33611598,systematic review
74,34254118,journal article
74,34254118,meta-analysis
74,34254118,"research support, non-u.s. gov't"
74,34254118,systematic review
75,33814057,journal article
75,33814057,review
76,34312316,journal article
76,34312316,randomized controlled trial
76,34312316,"research support, non-u.s. gov't"
77,34957758,journal article
77,34957758,review
78,35229536,journal article
78,35229536,review
79,33577752,editorial
80,33619944,journal article
80,33619944,randomized controlled trial
81,34690256,journal article
81,34690256,review
82,34125919,comment
82,34125919,editorial
83,34568904,comment
83,34568904,editorial
84,34854907,journal article
84,34854907,randomized controlled trial
84,34854907,"research support, non-u.s. gov't"
85,34211829,journal article
86,35700376,journal article
86,35700376,review
87,36141899,journal article
88,36272831,english abstract
88,36272831,journal article
89,34419529,journal article
89,34419529,multicenter study
89,34419529,randomized controlled trial
90,36295482,journal article
90,36295482,review
90,36295482,systematic review
91,33647923,journal article
92,35767008,journal article
93,33579602,journal article
93,33579602,"research support, non-u.s. gov't"
94,33668304,journal article
94,33668304,"research support, non-u.s. gov't"
95,36367614,"clinical trial, phase ii"
95,36367614,journal article
96,33611602,journal article
96,33611602,"research support, non-u.s. gov't"
96,33611602,review
97,34994711,journal article
97,34994711,"research support, non-u.s. gov't"
97,34994711,review
97,34994711,systematic review
98,33893061,letter
99,34045031,letter
99,34045031,randomized controlled trial
99,34045031,"research support, non-u.s. gov't"
100,36055472,editorial
101,33921310,clinical trial protocol
101,33921310,journal article
101,33921310,"research support, non-u.s. gov't"
102,36322107,journal article
102,36322107,meta-analysis
102,36322107,"research support, non-u.s. gov't"
102,36322107,review
102,36322107,systematic review
103,34433760,journal article
103,34433760,"research support, n.i.h., extramural"
103,34433760,review
104,33527740,journal article
104,33527740,randomized controlled trial
104,33527740,"research support, non-u.s. gov't"
105,34972589,comment
105,34972589,letter
106,34266323,journal article
106,34266323,randomized controlled trial
107,35738643,clinical trial protocol
107,35738643,journal article
107,35738643,"research support, non-u.s. gov't"
108,33807691,journal article
109,35040993,journal article
109,35040993,"research support, non-u.s. gov't"
110,34952989,journal article
110,34952989,randomized controlled trial
111,33682872,journal article
111,33682872,"research support, non-u.s. gov't"
112,35944773,journal article
112,35944773,randomized controlled trial
113,33985509,journal article
113,33985509,multicenter study
113,33985509,randomized controlled trial
113,33985509,"research support, non-u.s. gov't"
114,35634888,journal article
114,35634888,randomized controlled trial
115,35838996,journal article
116,34125923,journal article
117,34499396,journal article
117,34499396,multicenter study
117,34499396,randomized controlled trial
118,35615893,journal article
118,35615893,randomized controlled trial
118,35615893,"research support, non-u.s. gov't"
119,35037037,journal article
119,35037037,multicenter study
119,35037037,randomized controlled trial
119,35037037,"research support, non-u.s. gov't"
120,24526507,clinical trial
120,24526507,journal article
120,24526507,"research support, non-u.s. gov't"
121,25000073,journal article
122,24875684,journal article
246,21565845,comparative study
246,21565845,journal article
246,21565845,"research support, non-u.s. gov't"
259,25987401,journal article
261,26216314,clinical trial
261,26216314,journal article
268,30150328,journal article
268,30150328,multicenter study
268,30150328,randomized controlled trial
268,30150328,"research support, non-u.s. gov't"
314,32847918,clinical trial protocol
314,32847918,journal article
314,32847918,"research support, non-u.s. gov't"
364,35162128,journal article
364,35162128,review
370,23702985,journal article
374,36435565,journal article
374,36435565,review
375,21910377,journal article
375,21910377,review
376,22115323,comment
376,22115323,editorial
377,21289040,journal article
377,21289040,review
378,21558862,journal article
378,21558862,review
379,22322545,journal article
380,21856462,comment
380,21856462,editorial
381,23211231,journal article
381,23211231,review
382,22994215,journal article
382,22994215,review
383,22302764,journal article
384,21844172,journal article
384,21844172,review
384,21844172,systematic review
385,22222071,journal article
385,22222071,"research support, n.i.h., extramural"
385,22222071,"research support, non-u.s. gov't"
385,22222071,"research support, u.s. gov't, p.h.s."
385,22222071,review
386,21328042,journal article
386,21328042,"research support, non-u.s. gov't"
386,21328042,review
387,22383143,journal article
388,22461060,journal article
388,22461060,review
389,23168317,journal article
389,23168317,review
390,21910376,comment
390,21910376,editorial
391,21624731,journal article
391,21624731,review
392,21807331,journal article
392,21807331,review
393,23063863,comment
393,23063863,editorial
394,23019605,journal article
394,23019605,review
394,23019605,systematic review
395,22997998,journal article
395,22997998,review
396,22284857,editorial
397,21925288,journal article
397,21925288,"research support, n.i.h., extramural"
397,21925288,review
398,21241182,journal article
399,21558069,journal article
399,21558069,review
400,22269838,english abstract
400,22269838,journal article
400,22269838,review
401,22233978,journal article
401,22233978,review
402,21051386,journal article
402,21051386,"research support, n.i.h., extramural"
402,21051386,"research support, non-u.s. gov't"
402,21051386,"research support, u.s. gov't, non-p.h.s."
402,21051386,review
402,21051386,systematic review
403,21858633,english abstract
403,21858633,journal article
403,21858633,review
404,22642632,journal article
404,22642632,"research support, non-u.s. gov't"
404,22642632,review
405,21464164,journal article
405,21464164,"research support, non-u.s. gov't"
406,21856487,journal article
406,21856487,review
407,21178772,journal article
407,21178772,review
408,21858634,journal article
409,23138087,journal article
410,23074435,journal article
410,23074435,review
411,22276627,consensus development conference
411,22276627,journal article
412,22942058,journal article
413,21849765,journal article
413,21849765,review
414,21411207,editorial
415,22283363,journal article
416,22674020,journal article
416,22674020,review
417,22454456,journal article
418,21410376,comment
418,21410376,letter
419,21410378,comment
419,21410378,letter
420,21410377,comment
420,21410377,letter
421,21764817,comment
421,21764817,editorial
422,21504262,journal article
422,21504262,randomized controlled trial
422,21504262,"research support, non-u.s. gov't"
423,21912909,english abstract
423,21912909,journal article
423,21912909,review
424,21518749,journal article
425,21215382,comparative study
425,21215382,journal article
425,21215382,randomized controlled trial
425,21215382,"research support, non-u.s. gov't"
426,22567732,english abstract
426,22567732,journal article
427,21704942,journal article
428,22124933,journal article
428,22124933,review
429,22254478,clinical trial
429,22254478,journal article
429,22254478,"research support, non-u.s. gov't"
430,22468983,journal article
430,22468983,meta-analysis
430,22468983,review
430,22468983,systematic review
431,21982700,journal article
431,21982700,multicenter study
431,21982700,randomized controlled trial
431,21982700,"research support, non-u.s. gov't"
432,22646848,journal article
432,22646848,randomized controlled trial
432,22646848,"research support, non-u.s. gov't"
433,22241810,journal article
433,22241810,randomized controlled trial
433,22241810,"research support, non-u.s. gov't"
434,22371525,journal article
434,22371525,multicenter study
434,22371525,randomized controlled trial
434,22371525,"research support, non-u.s. gov't"
435,21508077,comparative study
435,21508077,journal article
436,22127741,english abstract
436,22127741,journal article
437,21618252,journal article
438,21599479,journal article
439,22615027,journal article
439,22615027,review
439,22615027,systematic review
440,22641542,journal article
441,20703745,journal article
441,20703745,"research support, non-u.s. gov't"
442,23096397,english abstract
442,23096397,journal article
443,22118447,comment
443,22118447,letter
444,22118446,comment
444,22118446,letter
445,21906246,journal article
445,21906246,review
446,22633448,journal article
446,22633448,"research support, non-u.s. gov't"
447,22306599,journal article
448,22400973,journal article
449,22008833,journal article
450,22723612,journal article
450,22723612,multicenter study
450,22723612,randomized controlled trial
450,22723612,"research support, non-u.s. gov't"
451,21958800,comparative study
451,21958800,journal article
451,21958800,"research support, non-u.s. gov't"
452,22709750,journal article
452,22709750,randomized controlled trial
452,22709750,"research support, u.s. gov't, non-p.h.s."
453,22173621,journal article
453,22173621,"research support, non-u.s. gov't"
454,22776554,journal article
454,22776554,randomized controlled trial
454,22776554,"research support, non-u.s. gov't"
455,22356799,journal article
455,22356799,randomized controlled trial
455,22356799,"research support, non-u.s. gov't"
456,22874200,comparative study
456,22874200,journal article
456,22874200,"research support, non-u.s. gov't"
457,23074431,journal article
457,23074431,review
458,22894523,journal article
